,name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock_num,stock,roe,ebt,interest,facevalue,sector
0,(주)가비아,79940,Dec-09,18535801.0,6045583.0,45179076.0,13556590.0,14060314.0,35644995.0,130.0,6367842.0,31118762.0,4441702.0,12735684.0,2130.0,18.43,5786033.0,0.0,500.0,1
1,(주)가비아,79940,Dec-10,23312665.0,8704012.0,52912228.0,18505855.0,15686573.0,40623302.0,155.0,6367842.0,37225655.0,5572559.0,12735684.0,3050.0,19.64,6783187.0,0.0,500.0,1
2,(주)가비아,79940,Dec-11,28837190.0,13905604.0,64954440.0,22695449.0,16288697.0,52838864.0,191.0,6367842.0,48665742.0,7014899.0,12735684.0,3950.0,18.06,8869912.0,0.0,500.0,1
3,(주)가비아,79940,Dec-12,31997486.0,14858349.0,85244515.0,28990858.0,26299269.0,69058144.0,211.0,6667842.0,58945247.0,9419144.0,13335684.0,4035.0,21.3,11450531.0,-492484.0,500.0,1
4,(주)가비아,79940,Dec-13,37411881.0,14999568.0,91231294.0,34684170.0,22631067.0,70675565.0,228.0,6667842.0,68600227.0,9505713.0,13335684.0,4790.0,15.65,11314450.0,-445102.0,500.0,1
5,(주)가비아,79940,Dec-14,41920706.0,16229926.0,98544072.0,37673310.0,23034370.0,80432047.0,247.0,6767842.0,75509702.0,6752737.0,13535684.0,6420.0,8.18,8012086.0,-350764.0,500.0,1
6,(주)가비아,79940,Dec-15,52239105.0,13210992.0,105081568.0,43121291.0,20985420.0,91648622.0,262.0,6767842.0,84096148.0,8530281.0,13535684.0,7130.0,11.99,10236592.0,-205639.0,500.0,1
7,(주)가비아,79940,Dec-16,60241586.0,20386590.0,125796754.0,48302552.0,29844914.0,102178978.0,268.0,6767842.0,95951841.0,10177685.0,13535684.0,5840.0,10.68,11234043.0,-149851.0,500.0,1
8,(주)가비아,79940,Dec-17,66113388.0,29400833.0,133382584.0,52864813.0,33486064.0,116217941.0,275.0,6767842.0,99896520.0,9669613.0,13535684.0,5870.0,8.88,11168630.0,-230396.0,500.0,1
9,(주)가비아,79940,Dec-18,78058272.0,29792809.0,151440505.0,60204841.0,37253015.0,128728438.0,280.0,6767842.0,114187490.0,15340647.0,13535684.0,6360.0,12.58,18069764.0,-284494.0,500.0,1
10,(주)가비아,79940,Dec-19,86880807.0,43098923.0,199916131.0,70637536.0,64956993.0,148306878.0,277.0,6767842.0,134959139.0,21102390.0,13535684.0,8280.0,15.73,24758255.0,-288981.0,500.0,1
11,(주)가비아,79940,Dec-20,123738031.0,50679127.0,260025259.0,82170075.0,86821629.0,169044955.0,298.0,6767842.0,173203629.0,23751739.0,13535684.0,13150.0,14.99,27523148.0,-405978.0,500.0,1
12,(주)게임빌,63080,Dec-10,53918027.0,3978460.0,59088029.0,35953856.0,5683446.0,30615365.0,121.0,2759628.0,53404583.0,14793729.0,5519255.0,27350.0,27.7,17400739.0,0.0,500.0,1
13,(주)게임빌,63080,Dec-11,66564919.0,7989071.0,77893415.0,52055298.0,9608876.0,42753975.0,143.0,2770680.0,68284539.0,16101442.0,5541359.0,68100.0,26.46,19821593.0,-51191.0,500.0,1
14,(주)게임빌,63080,Dec-12,65421708.0,6455549.0,99383970.0,74468194.0,8627229.0,70253046.0,178.0,2775480.0,90756741.0,22412895.0,5550959.0,100800.0,28.19,27047143.0,-36392.0,500.0,1
15,(주)게임빌,63080,Dec-13,63705280.0,11558728.0,179245827.0,88469480.0,12721831.0,81235357.0,219.0,3261188.0,166523996.0,13988996.0,6522376.0,45700.0,10.89,15254188.0,-17413.0,500.0,1
16,(주)게임빌,63080,Dec-14,68622461.0,28242552.0,226440965.0,111700853.0,32776800.0,144994601.0,239.0,3261188.0,193664165.0,22931329.0,6522376.0,120700.0,12.89,29582972.0,-9819.0,500.0,1
17,(주)게임빌,63080,Dec-15,107616981.0,65574476.0,331942511.0,131762934.0,119535318.0,152295704.0,286.0,3261188.0,212407193.0,20036362.0,6522376.0,77500.0,9.88,28968513.0,-535058.0,500.0,1
18,(주)게임빌,63080,Dec-16,59505197.0,43503800.0,327582214.0,159138771.0,91203538.0,161482810.0,352.0,3261188.0,236378676.0,26454479.0,6522376.0,48700.0,11.89,32859582.0,-1366242.0,500.0,1
