name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock
(주)네오위즈홀딩스,42420,12-Dec,21.3,54326605,5199412,,0,0,13920271,40314640,26877070,21918352,0
(주)네오위즈홀딩스,42420,13-Dec,19.63,85429207,5795508,0,0,0,59898207,24492946,27003888,22241289,0
(주)네오위즈홀딩스,42420,14-Dec,36.77,91617749,2255102,0,0,0,57500868,32224875,63476749,8084225,0
(주)네오위즈홀딩스,42420,15-Dec,58.44,74971673,73443,0,0,0,49969692,26843141,9288825,2983380,0
(주)네오위즈홀딩스,42420,16-Dec,55.11,-4950180,49422,0,0,0,-8386452,3269868,7483009,28472084,0
(주)네오위즈홀딩스,42420,17-Dec,57.31,-4565860,181448,0,0,0,-6798711,2232852,12250571,14546290,0
(주)네오위즈홀딩스,42420,18-Dec,41,45177504,85035,0,0,0,43566139,1611366,23416364,24358665,0
(주)네오위즈홀딩스,42420,19-Dec,42.8,45080853,109724,0,0,0,40857864,6748843,28887726,15927325,0
(주)네오위즈홀딩스,42420,20-Dec,41.92,109027026,86001,0,0,0,94962424,14064602,64682306,20153696,0
(주)네이블커뮤니케이션즈,153460,10-Dec,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,11-Dec,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,12-Dec,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,13-Dec,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,14-Dec,46.9,359656,1044,0,0,0,487174,-127518,335606,1044,0
(주)네이블커뮤니케이션즈,153460,15-Dec,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,16-Dec,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,17-Dec,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,18-Dec,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,19-Dec,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,20-Dec,,,,,,,,,,,
(주)넵튠,217270,15-Dec,,,,,,,,,,,
(주)넵튠,217270,16-Dec,14.33,-4132173,53100,0,0,0,-3993819,-138355,31641,53100,0
(주)넵튠,217270,17-Dec,5.08,42788451,168058,0,0,0,32090781,10697670,51975284,168058,-110147
(주)넵튠,217270,18-Dec,-23.46,-38947228,377241,0,0,0,-36924774,-2022454,1954009,6771153,-966025
(주)넵튠,217270,19-Dec,-21.46,-21396348,420493,0,0,0,-20788823,-607525,1207342,8194583,-8748609
(주)넵튠,217270,20-Dec,6.99,55021134,292404,0,0,0,43838745,11182388,67597700,727088,-2192536
(주)넷게임즈,225570,15-Dec,,,,,,,,,,,
(주)넷게임즈,225570,16-Dec,,,,,,,,,,,
(주)넷게임즈,225570,17-Dec,,,,,,,,,,,
(주)넷게임즈,225570,18-Dec,,,,,,,,,,,
(주)넷게임즈,225570,19-Dec,,,,,,,,,,,
(주)넷게임즈,225570,20-Dec,,,,,,,,,,,
(주)누리플렉스,40160,10-Dec,42.5,-382170,1329061,,0,0,-1026354,644183,1723119,1337954,0
(주)누리플렉스,40160,11-Dec,29.49,-118038,1552596,,0,0,-821326,703288,1399634,2749273,0
(주)누리플렉스,40160,12-Dec,20.95,-10849236,867919,,0,0,-11299861,450625,816105,885782,0
(주)누리플렉스,40160,13-Dec,11,-941541,820053,0,0,0,6882952,481805,404500,820053,0
(주)누리플렉스,40160,14-Dec,7.68,1658367,962148,0,0,0,1470047,188320,821591,962148,0
(주)누리플렉스,40160,15-Dec,20.58,4592693,517964,0,0,0,4417066,175627,195224,517964,0
(주)누리플렉스,40160,16-Dec,21.39,5988389,299956,0,0,0,6493314,-504925,79750,299956,0
(주)누리플렉스,40160,17-Dec,9.39,-4794334,1090969,0,0,0,-5840428,941711,122232,1203529,0
(주)누리플렉스,40160,18-Dec,18.59,17361664,1449460,0,0,0,11747611,5614052,2161597,1449460,0
(주)누리플렉스,40160,19-Dec,16.79,10372736,1363174,0,0,0,8862080,1510657,828576,1374880,0
(주)누리플렉스,40160,20-Dec,15.51,1670964,740534,0,0,0,2867014,-1196050,379344,856703,0
(주)다나와,119860,10-Dec,59.57,7985444,17556,,0,0,6715036,1270408,443042,18997,0
(주)다나와,119860,11-Dec,76.96,4882929,6900,,0,0,4363445,519483,1256026,11322,0
(주)다나와,119860,12-Dec,77.39,6580907,11658,,0,0,5316174,1264733,1421344,14509,0
(주)다나와,119860,13-Dec,78.74,6360046,19234,0,0,0,5568093,791953,1267612,21435,0
(주)다나와,119860,14-Dec,74.33,5880293,20147,0,0,0,4942345,937948,1219454,20786,0
(주)다나와,119860,15-Dec,69.26,6571400,13913,0,0,0,6053364,518037,915702,14786,0
(주)다나와,119860,16-Dec,62.37,10201378,5940,0,0,0,8935066,1266312,693954,6641,0
(주)다나와,119860,17-Dec,56.22,15532798,80817,0,0,0,13513869,2018929,1079140,118415,0
(주)다나와,119860,18-Dec,51.5,20915762,72223,0,0,0,16395902,4519860,1090512,143761,0
(주)다나와,119860,19-Dec,50.57,29344040,177029,0,0,0,23583163,5760876,1463665,367764,0
(주)다나와,119860,20-Dec,64.9,39481484,96720,0,0,0,30936956,7679507,2471201,212473,0
(주)다날,64260,10-Dec,5.36,-1178177,4921091,,0,0,-1592997,414820,1512933,4921091,-16721
(주)다날,64260,11-Dec,10.48,-6343988,5510146,,0,0,-6407215,63228,1392251,6477730,-633285
(주)다날,64260,12-Dec,5.84,-12037974,6627404,,0,0,-11550466,-487509,1755198,6627404,-1434391
(주)다날,64260,13-Dec,14.67,1744290,5781067,0,0,0,200553,1543737,1192676,5820317,-3290317
(주)다날,64260,14-Dec,16.39,3095814,3875374,0,0,0,339414,2756400,1556390,3875374,-2644789
(주)다날,64260,15-Dec,36.26,-2195779,2943313,0,0,0,-2560814,365035,1590159,2943313,206427
(주)다날,64260,16-Dec,27.25,-730009,3010403,0,0,0,-3910673,3180664,1332420,3010403,-3282616
(주)다날,64260,17-Dec,28.22,22773899,2820975,0,0,0,10686294,12087605,1700467,2820975,-923947
(주)다날,64260,18-Dec,44.24,-7459653,4768213,0,0,0,-2918329,-4541324,1558886,4768213,150089
(주)다날,64260,19-Dec,54.29,19215850,5901369,0,0,0,22794705,292164,1294357,5901369,860188
(주)다날,64260,20-Dec,37.36,22114868,7031393,0,0,0,12407859,9707009,1079450,7031393,-2505128
(주)다우기술,23590,10-Dec,5.25,171485909,3889426,,0,0,124848802,46637107,2352870,3889426,327778
(주)다우기술,23590,11-Dec,4.42,176609266,5482530,0,0,0,121305698,55303568,1910006,5482530,1910041
(주)다우기술,23590,12-Dec,46.24,135574142,5008466,0,0,0,95931116,39643026,3179276,5008466,5206816
(주)다우기술,23590,13-Dec,53.58,83618513,5512044,0,0,0,54080871,29537642,1476670,5512044,3562403
(주)다우기술,23590,14-Dec,53.59,112748497,5297465,0,0,0,84949965,27798532,1318660,5297465,1158359
(주)다우기술,23590,15-Dec,54.54,283114913,5227526,0,0,0,202618955,80495958,992563,5227526,11564242
(주)다우기술,23590,16-Dec,45.56,260833208,5590400,0,0,0,191978017,69054644,1164521,5590400,9224334
(주)다우기술,23590,17-Dec,43.5,345149445,5264387,0,0,0,243142590,102006855,1294892,5264388,8316086
(주)다우기술,23590,18-Dec,20.55,324374480,6662837,0,0,0,225403523,102080584,2576514,11018391,4258404
(주)다우기술,23590,19-Dec,22.92,533415674,5679482,0,0,0,395865387,137869767,3211400,7462904,29368992
(주)다우기술,23590,20-Dec,37.74,1030435361,7096049,0,0,0,679446474,350988887,1812818,7871027,28603548
(주)더블유게임즈,192080,14-Dec,,,,,,,,,,,
(주)더블유게임즈,192080,15-Dec,,,,,,,,,,,
(주)더블유게임즈,192080,16-Dec,60.73,53399648,107687,0,0,0,48718418,4681230,5325199,217102,-40675
(주)더블유게임즈,192080,17-Dec,-20.29,38328555,20408052,0,0,0,35641749,2686805,3580366,27358451,-14593
(주)더블유게임즈,192080,18-Dec,-6.21,117349900,30579447,0,0,0,87761134,29588766,1686271,30882448,-4178
(주)더블유게임즈,192080,19-Dec,8.3,138041810,27557121,0,0,0,110292805,27749005,2058655,28417862,111
(주)더블유게임즈,192080,20-Dec,15.86,169069173,10421756,0,0,0,124794300,44274873,1613151,31168073,-327
(주)더존비즈온,12510,10-Dec,18.37,32476451,2588869,,0,0,24075083,8401368,416304,2588869,0
(주)더존비즈온,12510,11-Dec,0.86,11595691,3000814,,0,0,4939304,6656387,432402,3000814,0
(주)더존비즈온,12510,12-Dec,15.57,18884335,3793664,,0,0,17029007,1855329,300070,3793664,0
(주)더존비즈온,12510,13-Dec,-1.8,12244377,3636515,0,0,0,13703450,-1459073,780291,3636515,0
(주)더존비즈온,12510,14-Dec,7.36,12048021,2722643,0,0,0,10940570,1107451,530939,3230120,0
(주)더존비즈온,12510,15-Dec,2.51,24242343,1747558,0,0,0,21680881,2561462,839395,1770703,0
(주)더존비즈온,12510,16-Dec,24.59,35586787,1080491,0,0,0,28238403,7348384,1056002,1435879,0
(주)더존비즈온,12510,17-Dec,14.68,49340530,832275,0,0,0,40580416,8760115,545803,1778087,0
(주)더존비즈온,12510,18-Dec,21.59,56069578,723103,0,0,0,42514595,13554983,1692881,1307338,0
(주)더존비즈온,12510,19-Dec,0.95,66412119,2756436,0,0,0,51025561,15386557,2846697,3385222,0
(주)더존비즈온,12510,20-Dec,2.43,72966269,7281227,0,0,0,57901331,15064938,320672,7504613,0
(주)드래곤플라이,30350,10-Dec,-0.26,9406760,0,,0,0,9205816,200944,587143,750401,0
(주)드래곤플라이,30350,11-Dec,-6.31,3068571,0,,0,0,6651725,-3583155,446859,58749,0
(주)드래곤플라이,30350,12-Dec,-14.07,-7147783,0,,0,0,-7544230,396447,389971,27,0
(주)드래곤플라이,30350,13-Dec,-38.55,-26871055,1282363,0,0,0,-33369164,6498109,87131,1282363,0
(주)드래곤플라이,30350,14-Dec,-39.58,-2813449,1695339,0,0,0,-9275096,6461648,180227,1695339,0
(주)드래곤플라이,30350,15-Dec,-43.52,-7130985,1398275,0,0,0,-7804337,673352,1556056,1398275,0
(주)드래곤플라이,30350,16-Dec,-40.09,-31812,1177584,0,0,0,-300982,269170,65746,957509,0
(주)드래곤플라이,30350,17-Dec,,,,,,,,,,,
(주)드래곤플라이,30350,18-Dec,,,,,,,,,,,
(주)드래곤플라이,30350,19-Dec,41.18,-5674192,61226,0,0,0,-5749731,75538,183471,61226,-14344
(주)드래곤플라이,30350,20-Dec,-14.16,-8124482,49379,0,0,0,-8195093,70611,75546,3727192,-13177
(주)드림시큐리티,203650,14-Dec,,,,,,,,,,,
(주)드림시큐리티,203650,15-Dec,,,,,,,,,,,
(주)드림시큐리티,203650,16-Dec,,,,,,,,,,,
(주)드림시큐리티,203650,17-Dec,46.42,-1528960,158010,0,0,0,-1595965,67005,135993,177906,0
(주)드림시큐리티,203650,18-Dec,49.03,3372295,25671,0,0,0,3139200,233095,163204,25923,0
(주)드림시큐리티,203650,19-Dec,3.97,2080578,62181,0,0,0,2526906,-446328,235992,74767,353819
(주)드림시큐리티,203650,20-Dec,-12.72,7322174,5254037,0,0,0,6177769,1144405,1156809,7853351,0
(주)드림어스컴퍼니,60570,10-Dec,43.66,-21121355,996904,,0,0,-27592717,6471362,4043854,2735246,0
(주)드림어스컴퍼니,60570,11-Dec,31.99,-34374394,1036590,,0,0,-40528032,6153638,3552577,3980247,0
(주)드림어스컴퍼니,60570,12-Dec,40.3,-9834121,531179,,0,0,-9835282,1161,1772913,1711552,0
(주)드림어스컴퍼니,60570,13-Dec,51.98,-8425581,179598,0,0,0,-8427833,2253,794963,859439,0
(주)드림어스컴퍼니,60570,14-Dec,78.64,2344852,133657,0,0,0,2344852,0,1197603,1006723,0
(주)드림어스컴퍼니,60570,15-Dec,72.63,635015,363189,0,0,0,635015,0,1990442,1041420,0
