,name,code,year,sector,x1,x2,x3,x4,x5,om,ga,gs,ge,croe,cpb,bankrupt
0,(주)대유플러스,300,2011,2,-0.027600751285702475,0.01332282518592619,0.020035180183558706,0.3697025929387678,0.5532391582269355,0.03621432048983849,0.3307075414562328,0.4175328147671681,0.09577464788732394,-10.559999999999999,0.6699796384442551,0
1,(주)대유플러스,300,2012,2,0.04933158553951524,-0.012951027804441255,-0.0030577530429102186,0.2554881972726642,0.622597893635059,-0.004911280738611921,0.006649371000186606,0.13285144172077756,0.15424164524421594,-11.559999999999999,-0.8125635797370576,0
2,(주)대유플러스,300,2013,2,0.09433671836379996,-0.006651631617820138,0.03856678237227577,0.21807523781724342,0.6627267015639711,0.05819409762917637,0.048990130022482654,0.11660154322728047,0.12026726057906459,19.23,-0.20790428350508483,0
3,(주)대유플러스,300,2014,2,0.047961314515136196,-0.01983174167606792,0.02130624806135847,0.18073677163397495,0.710024041146772,0.03000778399974511,0.10545683811727274,0.18435084879041158,-0.68389662027833,-11.49,-0.06161935389415496,0
4,(주)대유플러스,300,2015,2,0.04198091792832452,-0.02857512747401164,0.021317214389087173,0.15469347062981145,0.6319940362541098,0.03373008789044337,0.11012595051835453,-0.011874331627743021,0.09433962264150944,-0.8299999999999992,-0.02968402869882314,0
5,(주)대유플러스,300,2016,2,0.015207860395552778,-0.02289702293411281,0.027094259579709196,0.1009040010368864,0.4592993251223937,0.058990418878776145,0.2048402766815699,-0.12438679130569938,-0.7126436781609196,4.289999999999999,-0.2891574571143096,0
6,(주)대유플러스,300,2017,2,0.01960727702165268,-0.0496196221164371,0.007852838940463795,0.07796664375064737,0.4832131957742084,0.016251292409103,0.0022477158024153936,0.05443072789455996,0.04,-12.370000000000001,-0.168273722772737,0
7,(주)대유플러스,300,2018,2,0.04663528519280641,-0.050721091888487516,0.04138703994430316,0.09962566420159016,0.5034177856085627,0.082212113134366,0.05562924123133714,0.09976825900393124,1.2692307692307692,20.75,0.10161062640262053,0
8,(주)대유플러스,300,2019,2,-0.02139651967018093,-0.037661205511004575,0.019942500177059713,0.08903142993619109,0.42005737657907344,0.04747565758628131,0.08858987670713828,-0.09166854876340762,0.09322033898305085,2.6500000000000004,-0.11279755322659513,0
9,(주)대유플러스,300,2020,2,-0.18628731549104502,-0.10017889635427212,0.001978569000208863,0.25735741748066027,0.9571318383037541,0.002067185439902739,-0.5652895706928965,-0.00948009597874947,-0.046511627906976744,-15.52,0.23404659310932363,0
10,에스케이하이닉스(주),660,2010,2,0.0038207301271867174,0.2160161799969527,0.17232402010622833,1.4905125135448414,0.6952681285107377,0.2478526097195709,0.06799652412378246,0.5311856890270046,0.056859311150029186,45.84,-0.5145195450119577,0
11,에스케이하이닉스(주),660,2011,2,0.006936011919609925,0.20624738806048074,0.018622244106501464,1.3882662588539827,0.6030700629789233,0.03087907234942998,-0.009991260683580291,-0.14127426774458143,0.08268890852850198,-39.96,-0.1410231832906863,0
12,에스케이하이닉스(주),660,2012,2,0.046780382946944324,0.17766741079388246,0.004068274382553244,2.0062866115512965,0.5449288054664206,0.00746569889817274,0.08182694567885135,-0.022470685548246307,0.04892607520024488,-1.08,0.1847665500515676,0
13,에스케이하이닉스(주),660,2013,2,0.1718918005598612,0.2981792153961539,0.15744727993030633,3.3808425110139284,0.6811029971297233,0.23116515504088853,0.11521477671384263,0.3938997521208477,0.00953307392996109,26.990000000000002,0.1648579354817752,0
14,에스케이하이닉스(주),660,2014,2,0.17104350146585548,0.3822786789616951,0.1933998153052615,3.9292654188296,0.6370341444224176,0.30359411186760193,0.29263320648672725,0.20899701251710012,0.03830217768356138,1.7899999999999991,-0.07278710797822541,0
15,에스케이하이닉스(주),660,2015,2,0.16575738193927833,0.4838275314976737,0.1817319928164743,2.7003045309927876,0.6334004157840516,0.28691486189114396,0.10395413833089849,0.09765703510178875,0.027284116746322678,-5.050000000000001,-0.8806617555652416,0
16,에스케이하이닉스(주),660,2016,2,0.17625181330558895,0.5297544458152598,0.10374563268604266,3.972135685571284,0.5338329128490273,0.19434101980029625,0.08552220631738641,-0.08511667040288014,0.0051944532273363745,-8.92,0.3078967414199629,0
17,에스케이하이닉스(주),660,2017,2,0.2024355337071725,0.6007965394866722,0.2985547463692299,4.802066378918987,0.6629337795307213,0.45035379941051035,0.40980963946329074,0.7507546091909076,0.05203558910757616,23.79,0.29210216674501566,0
18,에스케이하이닉스(주),660,2018,2,0.1077988294855654,0.6603000376934144,0.33722306748990527,2.620738581431969,0.6353459605878791,0.5307707743634291,0.4015959456488885,0.3432688904082355,0.10934563471723903,1.730000000000004,-0.7066155170792302,0
19,에스케이하이닉스(주),660,2019,2,0.10161476180073269,0.6626178466527305,0.041273790469794375,4.086177800833287,0.4165911991842381,0.099075041793048,0.017769220637014776,-0.33265696735418854,0.08747882334822116,-34.28,0.49573978178443456,0
20,에스케이하이닉스(주),660,2020,2,0.10535600763387083,0.6602948417026123,0.09168538339493859,4.499735423589066,0.4482041740806136,0.204561645555867,0.09854003490133756,0.1819026182060339,0.027049992918850022,5.279999999999999,0.2341608611554602,0
21,(주)DB하이텍,990,2010,2,0.12507089279350259,-0.29933754102297144,-0.14725644956113318,0.4663957194923044,0.44889957207303294,-0.32803873900146097,-0.49341917323391105,-0.4985412189494769,-0.275,-13.09,0.7112345138862857,0
22,(주)DB하이텍,990,2011,2,-0.4294915618304204,-0.4276185269414859,-0.04193427555068046,0.3492705192495876,0.4605471570114838,-0.09105316342151434,-0.131914641120065,-0.10939045401806739,0.05377668308702791,10.040000000000003,-0.1419884902579598,0
