,name,code,year,nwcta,ebt,interest1,interest2,interest3,interest4,NI,TI,FI,FC,GVEM,ebit_1
34,(주)골프존,215000,Dec-16,17.74,44008772.0,759926.0,0.0,0.0,0.0,36536248.0,7472524.0,1288071.0,759926.0,0.0,44768698.0
35,(주)골프존,215000,Dec-17,42.84,50745356.0,713146.0,0.0,0.0,0.0,79392004.0,-28749344.0,1887857.0,713146.0,-1532.0,51458502.0
36,(주)골프존,215000,Dec-18,35.79,26353781.0,748762.0,0.0,0.0,0.0,20419449.0,5934332.0,2189085.0,818962.0,-56871.0,27102543.0
37,(주)골프존,215000,Dec-19,6.61,29850286.0,1003551.0,0.0,0.0,0.0,16213888.0,13636399.0,2083818.0,1003551.0,-82572.0,30853837.0
38,(주)골프존,215000,Dec-20,10.12,48705922.0,1513019.0,0.0,0.0,0.0,37497361.0,11208561.0,1796021.0,1513019.0,65256.0,50218941.0
39,(주)골프존,215000,Dec-15,0.0,45670572.0,711609.0,0.0,0.0,0.0,36533155.0,9137417.0,1090969.0,721609.0,0.0,46382181.0
40,(주)네오리진,94860,Dec-11,13.96,601278.0,893017.0,0.0,0.0,0.0,649924.0,-48645.0,584578.0,1329075.0,0.0,0.0
41,(주)네오리진,94860,Dec-10,38.49,-4539142.0,178765.0,0.0,0.0,0.0,-4659690.0,120549.0,506832.0,312755.0,0.0,0.0
42,(주)네오리진,94860,Dec-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,(주)네오리진,94860,Dec-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,(주)네오리진,94860,Dec-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,(주)네오리진,94860,Dec-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,(주)네오리진,94860,Dec-17,31.95,190144.0,68001.0,0.0,0.0,0.0,166207.0,23937.0,80896.0,69246.0,0.0,258145.0
47,(주)네오리진,94860,Dec-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,(주)네오리진,94860,Dec-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
