name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,income,stock_num,stock,roe,ebt,interest,facevalue
(주)디지틀조선일보,33130,Dec-16,43248742,6038915,71806142,28546276,6294595,39134399,242,18557634,65511547,4656305,4637268,37115267,2960,7.28,5369861,0,500
(주)디지틀조선일보,33130,Dec-17,50153698,7351780,77156024,32349826,7525459,39512311,235,18557634,69630565,5300249,5435360,37115267,2060,7.85,6254421,0,500
(주)디지틀조선일보,33130,Dec-18,48669286,6816038,80641711,36664984,7016118,39679633,198,18557634,73625594,5140110,6363294,37115267,1925,7.24,7280585,0,500
(주)디지틀조선일보,33130,Dec-19,49498720,7573941,85853679,38589523,8595903,33842796,187,18557634,77257776,3463027,2936471,37115267,2175,4.54,4377482,-94619,500
(주)디지틀조선일보,33130,Dec-10,22855411,6124186,52404545,8561837,6905658,36913335,254,18557634,45498887,2944298,,37115267,2950,6.45,3035594,-897,500
(주)디지틀조선일보,33130,Dec-20,51444061,5637918,85035320,39277220,5972241,30361096,178,18557634,79063079,1833292,1459673,37115267,3040,2.32,2710720,-59876,500
(주)디패션,30420,Dec-10,,,,,,,10,,,,,,950,,,,
(주)딥노이드,315640,Dec-17,,,,,,,,,,,,,,,,,
(주)딥노이드,315640,Dec-19,,,,,,,,,,,,,,,,,
(주)딥노이드,315640,Dec-18,,,,,,,,,,,,,,,,,
(주)딥노이드,315640,Dec-20,,,,,,,,,,,,,,,,,
(주)라이프시맨틱스,347700,Dec-18,,,,,,,,,,,,,,,,,
(주)라이프시맨틱스,347700,Dec-20,,,,,,,61,,,,,,,,,,
(주)라이프시맨틱스,347700,Dec-19,,,,,,,,,,,,,,,,,
(주)로지시스,67730,Dec-10,,,,,,,,,,,,,,,,,
(주)로지시스,67730,Dec-12,,,,,,,,,,,,,,,,,
(주)로지시스,67730,Dec-13,,,,,,,,,,,,,,,,,
(주)로지시스,67730,Dec-11,,,,,,,,,,,,,,,,,
(주)로지시스,67730,Dec-15,,,,,,,437,,,,,,5650,,,,
