name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,income,stock_num,stock,roe,ebt,interest,facevalue
알에스오토메이션(주),140670,Dec-18,50793589,28862100,73688693,19229012,34170724,98664317,192,4551570,39517969,1025850,1082206,9103140,11100,2.6,158849,-548738,500
알에스오토메이션(주),140670,Dec-17,53653357,31597278,76231548,18968384,36974207,87447208,229,4551570,39257341,2922649,3918161,9103140,25200,9.86,3260030,-556718,500
알에스오토메이션(주),140670,Dec-19,49645817,26290205,73091768,19228090,33854479,82169975,185,4551570,39237289,149133,148905,9103140,9130,0.38,-917742,-525634,500
알에스오토메이션(주),140670,Dec-16,43671922,38614214,64662270,15969541,44630373,70697897,,2846000,20031898,3004152,3070541,6592000,,16.27,2388842,-494992,500
알에스오토메이션(주),140670,Dec-11,,,,,,,,,,,,,,,,,
알에스오토메이션(주),140670,Dec-12,26307806,17069128,42830683,10176686,30333957,52776665,,2096000,12496726,1001793,1711205,6592000,,8.02,966509,-1177357,500
알에스오토메이션(주),140670,Dec-13,28884830,21099249,46577445,11600274,30912343,57995713,,2846000,15665102,1318516,1719224,5692000,,9.36,700817,-778024,500
알에스오토메이션(주),140670,Dec-14,26567761,23163695,44479132,11120280,29305482,49709541,,2846000,15173650,-499316,630283,5692000,,-3.24,-865952,-655515,500
알에스오토메이션(주),140670,Dec-15,35818464,32296125,53425179,12835581,36530815,64010012,,2846000,16894364,1594869,2118458,6592000,,9.95,1471556,-565394,500
알에프머트리얼즈(주),327260,Dec-19,,,,,,,102,,,,,,28050,,,,
알에프머트리얼즈(주),327260,Dec-18,,,,,,,,,,,,,,,,,
알에프머트리얼즈(주),327260,Dec-20,35120244,16024600,58617575,11053171,26207008,18213484,94,1798294,32410567,-232826,-625374,3596588,28100,-2.09,-858726,-25862,500
알에프에이치아이씨(주),218410,Dec-20,213244065,45032870,312304515,96727771,95183250,70452304,263,11923810,217121265,1571044,-2996707,23847620,44650,1.02,537166,-194524,500
알에프에이치아이씨(주),218410,Dec-19,190853498,42603913,260240851,99473069,44667915,107768754,269,11921051,215572935,20164377,17936450,23842102,36850,11.22,20341989,-176826,500
알에프에이치아이씨(주),218410,Dec-18,178170913,43706651,234287803,84006054,70570436,108101224,255,11222980,163717366,25401251,26711252,22445959,24600,17.22,27178729,-203586,500
알에프에이치아이씨(주),218410,Dec-17,107212644,24917990,155075427,61287067,27643101,62055228,246,11018464,127432326,6126808,8075619,22036928,16800,4.99,6556697,-251920,500
